username,waktu,teks_komentar,jumlah_likes,sumber_video,case_folding,komentar_final,bigrams
@Supercar179,2 years ago,"Sekarang mobil apa ajh di jadiin taksi bahkan travel.  Mercy alphard , zenix inova reborn fortuner dll",0,https://youtube.com/watch?v=FDU3zV2_n04,"sekarang mobil apa ajh di jadiin taksi bahkan travel.  mercy alphard , zenix inova reborn fortuner dll","['sekarang', 'mobil', 'apa', 'ajh', 'jadiin', 'taksi', 'bahkan', 'travel', 'mercy', 'alphard', 'zenix', 'inova', 'reborn', 'fortuner']","[('sekarang', 'mobil'), ('mobil', 'apa'), ('apa', 'ajh'), ('ajh', 'jadiin'), ('jadiin', 'taksi'), ('taksi', 'bahkan'), ('bahkan', 'travel'), ('travel', 'mercy'), ('mercy', 'alphard'), ('alphard', 'zenix'), ('zenix', 'inova'), ('inova', 'reborn'), ('reborn', 'fortuner')]"
@Supercar179,2 years ago (edited),"Kalo liat di ig pedagang vios ex taxi suka heran sendiri ,, mereka dah keluarin vios gen 4 gen 5 gen 6,, dengan basic gen 3 di tempel bodykit wkkwkw  ,, kalo di komen ehh itu bukannya gen 3 ganti bemper doang bang .. Ehh jawabnya ttep kekeh gen 4 ini bang gen 5 ini bang wkwkwk geli2 dah",0,https://youtube.com/watch?v=FDU3zV2_n04,"kalo liat di ig pedagang vios ex taxi suka heran sendiri ,, mereka dah keluarin vios gen 4 gen 5 gen 6,, dengan basic gen 3 di tempel bodykit wkkwkw  ,, kalo di komen ehh itu bukannya gen 3 ganti bemper doang bang .. ehh jawabnya ttep kekeh gen 4 ini bang gen 5 ini bang wkwkwk geli2 dah","['kalau', 'liat', 'dagang', 'vios', 'taxi', 'suka', 'heran', 'sendiri', 'dah', 'keluarin', 'vios', 'gen', 'gen', 'gen', 'basic', 'gen', 'tempel', 'bodykit', 'wkkwkw', 'kalau', 'komen', 'ehh', 'bukan', 'gen', 'ganti', 'bemper', 'doang', 'bang', 'ehh', 'jawab', 'ttep', 'kekeh', 'gen', 'bang', 'gen', 'bang', 'wkwkwk', 'geli', 'dah']","[('kalau', 'liat'), ('liat', 'dagang'), ('dagang', 'vios'), ('vios', 'taxi'), ('taxi', 'suka'), ('suka', 'heran'), ('heran', 'sendiri'), ('sendiri', 'dah'), ('dah', 'keluarin'), ('keluarin', 'vios'), ('vios', 'gen'), ('gen', 'gen'), ('gen', 'gen'), ('gen', 'basic'), ('basic', 'gen'), ('gen', 'tempel'), ('tempel', 'bodykit'), ('bodykit', 'wkkwkw'), ('wkkwkw', 'kalau'), ('kalau', 'komen'), ('komen', 'ehh'), ('ehh', 'bukan'), ('bukan', 'gen'), ('gen', 'ganti'), ('ganti', 'bemper'), ('bemper', 'doang'), ('doang', 'bang'), ('bang', 'ehh'), ('ehh', 'jawab'), ('jawab', 'ttep'), ('ttep', 'kekeh'), ('kekeh', 'gen'), ('gen', 'bang'), ('bang', 'gen'), ('gen', 'bang'), ('bang', 'wkwkwk'), ('wkwkwk', 'geli'), ('geli', 'dah')]"
@budinugraha1227,2 years ago,Beda Orang. Ini Mamank Ican (Aspros Auto) bukan Om Mobi.,0,https://youtube.com/watch?v=FDU3zV2_n04,beda orang. ini mamank ican (aspros auto) bukan om mobi.,"['beda', 'orang', 'mamank', 'ican', 'aspros', 'auto', 'bukan', 'mob']","[('beda', 'orang'), ('orang', 'mamank'), ('mamank', 'ican'), ('ican', 'aspros'), ('aspros', 'auto'), ('auto', 'bukan'), ('bukan', 'mob')]"
@extremelyjuicy6034,2 years ago,"dirasain dulu, ini dnga sama ama avanza",0,https://youtube.com/watch?v=FDU3zV2_n04,"dirasain dulu, ini dnga sama ama avanza","['dirasain', 'dulu', 'dnga', 'sama', 'ama', 'avanza']","[('dirasain', 'dulu'), ('dulu', 'dnga'), ('dnga', 'sama'), ('sama', 'ama'), ('ama', 'avanza')]"
@YATSUP,2 years ago,belakang mirip city,0,https://youtube.com/watch?v=FDU3zV2_n04,belakang mirip city,"['belakang', 'mirip', 'city']","[('belakang', 'mirip'), ('mirip', 'city')]"
@budinugraha1227,2 years ago,Beda orang. Ini Mamank Ican (Aspros Auto) bukan Om Mobi,0,https://youtube.com/watch?v=FDU3zV2_n04,beda orang. ini mamank ican (aspros auto) bukan om mobi,"['beda', 'orang', 'mamank', 'ican', 'aspros', 'auto', 'bukan', 'mob']","[('beda', 'orang'), ('orang', 'mamank'), ('mamank', 'ican'), ('ican', 'aspros'), ('aspros', 'auto'), ('auto', 'bukan'), ('bukan', 'mob')]"
@zakyilhamizain,2 years ago,Apakah mungkin ini om mobi?🤣,0,https://youtube.com/watch?v=FDU3zV2_n04,apakah mungkin ini om mobi?🤣,"['mungkin', 'mob']","[('mungkin', 'mob')]"
@budinugraha1227,2 years ago," @zakyilhamizain  Beda Orang. Ini Mamang Ican (Aspros Auto) bukan Om Mobi.
Om Mobi orang Jakarta
Mamang Ican orang Bandung",0,https://youtube.com/watch?v=FDU3zV2_n04," @zakyilhamizain  beda orang. ini mamang ican (aspros auto) bukan om mobi.
om mobi orang jakarta
mamang ican orang bandung","['beda', 'orang', 'mamang', 'ican', 'aspros', 'auto', 'bukan', 'mob', 'mob', 'orang', 'jakarta', 'mamang', 'ican', 'orang', 'bandung']","[('beda', 'orang'), ('orang', 'mamang'), ('mamang', 'ican'), ('ican', 'aspros'), ('aspros', 'auto'), ('auto', 'bukan'), ('bukan', 'mob'), ('mob', 'mob'), ('mob', 'orang'), ('orang', 'jakarta'), ('jakarta', 'mamang'), ('mamang', 'ican'), ('ican', 'orang'), ('orang', 'bandung')]"
@iqbalmaulanafahrezy8751,2 years ago,Mls bgt yg review mamang mamang bosenin,0,https://youtube.com/watch?v=FDU3zV2_n04,mls bgt yg review mamang mamang bosenin,"['mls', 'banget', 'review', 'mamang', 'mamang', 'bosenin']","[('mls', 'banget'), ('banget', 'review'), ('review', 'mamang'), ('mamang', 'mamang'), ('mamang', 'bosenin')]"
@expocel34,2 years ago,"Gan, ini bukanx Gen 5, krn sthu sy, Gen 4 kembali kaya model Gen 2, cb deh di cek lg. (Maaf kl sy slh).. 🙏",0,https://youtube.com/watch?v=FDU3zV2_n04,"gan, ini bukanx gen 5, krn sthu sy, gen 4 kembali kaya model gen 2, cb deh di cek lg. (maaf kl sy slh).. 🙏","['gan', 'bukanx', 'gen', 'sthu', 'gen', 'kaya', 'model', 'gen', 'cek', 'maaf', 'slh']","[('gan', 'bukanx'), ('bukanx', 'gen'), ('gen', 'sthu'), ('sthu', 'gen'), ('gen', 'kaya'), ('kaya', 'model'), ('model', 'gen'), ('gen', 'cek'), ('cek', 'maaf'), ('maaf', 'slh')]"
